name	strand	path
c9919708-ce61-4bc4-872a-236bb8bb2248	negative	your_fast5_directory/NA19240_read_170884_ch_444_strand.fast5
ce1d37b3-0ea0-4039-8667-90eb4c03d116	negative	your_fast5_directory/NA19240_read_5011_ch_140_strand.fast5
d71d1759-8f2f-40c0-ae54-8b26e8fb2d3f	positive	your_fast5_directory/NA19240_read_9437_ch_2042_strand.fast5
e12d0dc4-066f-4451-bfcb-235eb7f6b6e2	positive	your_fast5_directory/NA19240_read_7509_ch_279_strand.fast5
e6ab84f1-217d-442a-a9c4-85a8fbc3e327	positive	your_fast5_directory/NA19240_read_35562_ch_2304_strand.fast5
e7062ffc-26ed-48e7-8ae3-b3b8452b1add	positive	your_fast5_directory/NA19240_read_85529_ch_1448_strand.fast5
e9d7ab64-7235-4698-9f1f-51189182c60b	positive	your_fast5_directory/NA19240_read_5002_ch_1407_strand.fast5
eb7778c0-9df6-4a8e-82fc-9dcf5226804c	positive	your_fast5_directory/NA19240_read_10406_ch_2534_strand.fast5
f0659e1d-8b6d-4b5c-bee1-8668700e2360	negative	your_fast5_directory/NA19240_read_6280_ch_1364_strand.fast5
f1684c2e-fba9-464a-aea5-f6bf5f459d04	negative	your_fast5_directory/NA19240_read_4216_ch_1332_strand.fast5
f5f7d02b-21fc-4808-a82c-29a5a292b784	positive	your_fast5_directory/NA19240_read_740_ch_200_strand.fast5
f798c0c8-81de-41e9-b57a-dc4a51a54d58	positive	your_fast5_directory/NA19240_read_40981_ch_774_strand.fast5
fd7efd32-ee72-49a5-8511-a5969641ba32	negative	your_fast5_directory/NA19240_read_410_ch_2903_strand.fast5
